,state,population,medIncome,medFamInc,perCapInc,NumUnderPov,PctLess9thGrade,PctNotHSGrad,PctBSorMore,PctUnemployed,PctEmploy,ViolentCrimesPerPop,CrimeCategory
42,1,0.0,0.16,0.19,0.16,0.02,0.39,0.5,0.26,0.56,0.33,0.8,High
43,6,0.09,0.56,0.55,0.57,0.04,0.14,0.15,0.58,0.27,0.6,0.22,Low
44,34,0.02,0.78,0.72,0.59,0.01,0.21,0.23,0.5,0.18,0.48,0.17,Low
45,8,0.12,0.25,0.35,0.28,0.13,0.12,0.12,0.7,0.34,0.56,0.16,Low
46,34,0.03,0.47,0.42,0.3,0.02,0.27,0.41,0.27,0.32,0.58,0.2,Low
47,35,0.0,0.18,0.21,0.18,0.02,0.65,0.62,0.18,0.45,0.3,0.12,Low
48,8,0.04,0.37,0.44,0.45,0.02,0.08,0.15,0.58,0.26,0.62,0.11,Low
49,33,0.01,0.23,0.24,0.22,0.02,0.41,0.57,0.17,0.47,0.44,0.12,Low
50,18,0.06,0.24,0.27,0.26,0.07,0.32,0.45,0.19,0.54,0.41,0.2,Low
51,6,0.35,0.38,0.39,0.31,0.24,0.3,0.38,0.3,0.44,0.51,0.68,High
52,34,0.04,0.4,0.4,0.33,0.02,0.27,0.43,0.2,0.23,0.52,0.23,Low
53,34,0.02,0.79,0.74,0.67,0.0,0.11,0.14,0.67,0.24,0.59,0.05,Low
54,39,0.0,0.23,0.24,0.18,0.02,0.63,0.7,0.08,0.53,0.38,0.1,Low
55,48,0.01,0.13,0.13,0.13,0.03,0.53,0.66,0.16,0.65,0.24,0.28,Medium
56,6,0.16,0.5,0.49,0.43,0.07,0.12,0.18,0.42,0.25,0.69,0.22,Low
57,53,0.0,0.17,0.2,0.19,0.02,0.32,0.46,0.15,0.44,0.33,0.22,Low
58,1,0.24,0.34,0.38,0.38,0.16,0.22,0.3,0.54,0.33,0.57,0.55,High
59,34,0.0,0.43,0.45,0.38,0.0,0.44,0.48,0.13,0.22,0.57,0.05,Low
60,34,0.01,0.52,0.52,0.49,0.0,0.36,0.39,0.35,0.2,0.55,0.03,Low
61,51,0.02,0.23,0.27,0.27,0.02,0.47,0.49,0.27,0.18,0.37,0.07,Low
62,41,0.0,0.16,0.23,0.18,0.02,0.22,0.32,0.3,0.47,0.38,0.07,Low
63,4,0.01,0.24,0.22,0.21,0.03,0.51,0.48,0.21,0.51,0.48,0.57,High
64,6,0.02,0.18,0.2,0.21,0.03,0.45,0.65,0.14,0.74,0.08,0.37,Medium
65,6,0.04,0.92,0.96,1.0,0.01,0.02,0.04,0.93,0.08,0.78,0.14,Low
66,37,0.07,0.24,0.26,0.26,0.07,0.59,0.66,0.24,0.31,0.5,0.61,High
67,34,0.01,0.74,0.74,0.78,0.0,0.15,0.15,0.71,0.21,0.73,0.03,Low
68,34,0.05,0.28,0.28,0.21,0.06,1.0,0.89,0.11,0.75,0.47,0.5,High
69,36,0.0,0.22,0.23,0.22,0.01,0.24,0.4,0.24,0.23,0.43,0.05,Low
70,29,0.04,0.91,0.9,0.79,0.01,0.1,0.09,0.88,0.07,0.6,0.04,Low
71,6,0.05,0.48,0.48,0.41,0.02,0.15,0.22,0.39,0.2,0.66,0.21,Low
72,19,0.04,0.27,0.35,0.24,0.04,0.14,0.18,0.51,0.29,0.49,0.05,Low
73,9,0.02,0.73,0.7,0.67,0.0,0.07,0.12,0.71,0.18,0.72,0.02,Low
74,9,0.08,0.41,0.41,0.36,0.04,0.37,0.47,0.24,0.3,0.58,0.14,Low
75,25,0.02,0.26,0.29,0.34,0.02,0.08,0.22,0.35,0.51,0.21,0.18,Low
76,40,0.02,0.23,0.22,0.2,0.03,0.18,0.39,0.14,0.51,0.47,0.12,Low
77,48,0.08,0.11,0.14,0.15,0.15,0.57,0.61,0.14,0.89,0.19,0.68,High
78,8,0.14,0.15,0.16,0.17,0.19,0.42,0.46,0.21,0.62,0.23,0.7,High
79,8,0.34,0.36,0.36,0.35,0.15,0.08,0.14,0.42,0.26,0.77,0.75,High
80,36,0.29,0.41,0.43,0.42,0.19,0.38,0.45,0.34,0.4,0.44,0.3,Medium
81,49,0.09,0.2,0.22,0.19,0.09,0.26,0.43,0.25,0.54,0.41,0.24,Low
82,48,0.0,0.15,0.17,0.15,0.02,0.69,0.69,0.18,0.33,0.32,1.0,High
83,39,0.01,0.4,0.39,0.35,0.0,0.1,0.19,0.43,0.23,0.43,0.0,Low
84,46,0.0,0.08,0.19,0.11,0.02,0.23,0.21,0.72,0.43,0.42,0.03,Low
85,29,0.0,0.14,0.16,0.19,0.01,0.45,0.53,0.18,0.32,0.32,0.06,Low
86,4,0.02,0.28,0.26,0.32,0.02,0.17,0.35,0.2,0.15,0.3,0.08,Low
87,6,0.02,0.35,0.55,0.71,0.01,0.14,0.22,0.51,0.12,0.21,0.1,Low
88,41,0.0,0.15,0.16,0.17,0.02,0.32,0.48,0.13,0.71,0.29,0.27,Medium
89,6,0.04,0.26,0.31,0.31,0.02,0.27,0.45,0.18,0.3,0.25,0.15,Low
90,12,0.02,0.27,0.26,0.36,0.02,0.32,0.34,0.33,0.12,0.72,0.63,High
91,28,0.02,0.41,0.42,0.33,0.02,0.15,0.21,0.62,0.16,0.69,0.05,Low
92,44,0.0,0.65,0.71,0.72,0.0,0.09,0.15,0.72,0.21,0.57,0.03,Low
93,41,0.0,0.34,0.35,0.31,0.0,0.13,0.23,0.3,0.18,0.57,0.12,Low
94,6,0.04,0.4,0.41,0.33,0.03,0.12,0.19,0.34,0.31,0.69,0.4,Medium
95,25,0.07,0.37,0.42,0.37,0.04,0.24,0.37,0.31,0.49,0.56,0.37,Medium
96,6,0.03,0.17,0.22,0.27,0.04,0.23,0.35,0.28,0.56,0.34,0.45,High
97,19,0.06,0.21,0.33,0.21,0.08,0.07,0.05,0.89,0.23,0.51,0.04,Low
98,9,0.01,0.61,0.56,0.44,0.0,0.21,0.36,0.24,0.35,0.65,0.09,Low
99,33,0.14,0.33,0.37,0.34,0.08,0.4,0.43,0.3,0.45,0.59,0.09,Low
100,40,0.11,0.21,0.19,0.19,0.11,0.19,0.31,0.29,0.61,0.47,0.39,Medium
101,34,0.0,0.34,0.38,0.39,0.0,0.51,0.53,0.24,0.52,0.51,0.02,Low
102,12,0.18,0.26,0.3,0.38,0.12,0.29,0.47,0.24,0.37,0.37,0.34,Medium
103,48,0.24,0.22,0.24,0.26,0.24,0.29,0.41,0.27,0.42,0.52,0.28,Medium
104,46,0.0,0.16,0.22,0.2,0.01,0.46,0.35,0.32,0.07,0.58,0.08,Low
105,22,0.01,0.04,0.07,0.1,0.05,0.61,0.68,0.14,1.0,0.03,0.44,High
106,6,0.05,0.24,0.38,0.33,0.1,0.13,0.17,0.56,0.34,0.4,0.24,Low
107,42,0.01,0.65,0.64,0.53,0.0,0.13,0.16,0.63,0.07,0.74,0.09,Low
108,48,0.0,0.16,0.18,0.21,0.02,0.78,0.72,0.18,0.53,0.4,0.26,Medium
109,4,0.64,0.17,0.2,0.21,0.72,0.32,0.36,0.32,0.53,0.43,0.4,Medium
110,12,0.06,0.28,0.3,0.4,0.04,0.33,0.46,0.25,0.31,0.26,0.56,High
111,42,0.01,0.34,0.36,0.34,0.0,0.36,0.42,0.22,0.15,0.51,0.05,Low
112,25,0.02,0.64,0.63,0.48,0.01,0.09,0.14,0.52,0.26,0.68,0.06,Low
113,6,0.13,0.54,0.52,0.5,0.05,0.22,0.27,0.49,0.24,0.69,0.2,Low
114,6,0.0,0.16,0.19,0.23,0.02,0.31,0.41,0.17,0.8,0.27,0.51,High
115,34,0.01,1.0,1.0,0.88,0.0,0.07,0.07,1.0,0.12,0.68,0.04,Low
116,6,0.16,0.3,0.27,0.23,0.16,0.59,0.6,0.23,0.68,0.52,0.86,High
117,42,0.02,0.6,0.61,0.52,0.01,0.19,0.22,0.48,0.09,0.5,0.05,Low
118,12,0.03,0.35,0.35,0.47,0.02,0.16,0.26,0.42,0.22,0.27,0.06,Low
119,6,0.12,0.4,0.55,0.83,0.07,0.19,0.19,0.71,0.27,0.59,0.68,High
120,12,0.06,0.42,0.41,0.4,0.03,0.15,0.32,0.32,0.26,0.69,0.22,Low
121,34,0.02,0.77,0.75,0.76,0.0,0.15,0.19,0.68,0.19,0.63,0.05,Low
122,39,0.03,0.5,0.46,0.33,0.01,0.19,0.29,0.33,0.13,0.63,0.03,Low
123,45,0.0,0.49,0.47,0.38,0.0,0.13,0.18,0.45,0.11,0.79,0.09,Low
124,33,0.02,0.32,0.36,0.31,0.01,0.21,0.27,0.46,0.4,0.55,0.17,Low
125,39,0.01,0.38,0.38,0.32,0.01,0.28,0.41,0.16,0.41,0.44,0.17,Low
126,42,0.05,0.43,0.43,0.46,0.01,0.1,0.2,0.43,0.06,0.72,0.17,Low
127,6,0.01,0.36,0.35,0.35,0.02,0.26,0.27,0.69,0.26,0.45,0.14,Low
128,6,0.03,0.27,0.25,0.18,0.04,1.0,0.83,0.15,0.75,0.46,0.62,High
129,39,0.0,0.27,0.28,0.26,0.01,0.29,0.37,0.21,0.42,0.34,0.03,Low
130,28,0.02,0.09,0.12,0.18,0.05,0.54,0.54,0.29,0.86,0.19,0.23,Low
131,25,0.0,0.45,0.44,0.35,0.01,0.29,0.33,0.46,0.19,0.7,0.15,Low
132,16,0.01,0.15,0.17,0.15,0.03,0.52,0.58,0.19,0.4,0.49,0.13,Low
133,6,0.05,0.59,0.54,0.39,0.01,0.18,0.31,0.27,0.25,0.57,0.27,Medium
134,34,0.1,0.47,0.5,0.47,0.03,0.42,0.47,0.32,0.26,0.51,0.08,Low
135,34,0.01,0.54,0.58,0.5,0.0,0.24,0.31,0.41,0.34,0.54,0.06,Low
136,25,0.0,0.64,0.62,0.57,0.0,0.1,0.19,0.56,0.21,0.58,0.09,Low
137,6,0.04,0.51,0.54,0.54,0.02,0.11,0.17,0.5,0.16,0.77,0.16,Low
138,47,0.0,0.15,0.2,0.23,0.02,0.51,0.61,0.17,0.49,0.35,0.38,Medium
139,6,0.01,1.0,1.0,1.0,0.0,0.01,0.02,1.0,0.13,0.49,0.02,Low
140,6,0.03,0.58,0.58,0.43,0.01,0.15,0.26,0.38,0.22,0.22,0.08,Low
141,33,0.03,0.54,0.55,0.44,0.01,0.19,0.29,0.32,0.39,0.71,0.09,Low
142,5,0.03,0.17,0.2,0.16,0.06,0.55,0.66,0.16,0.55,0.45,0.3,Medium
143,34,0.02,0.65,0.57,0.42,0.0,0.11,0.15,0.36,0.28,0.69,0.05,Low
144,6,0.06,0.33,0.34,0.27,0.05,0.23,0.3,0.31,0.35,0.65,0.17,Low
145,25,0.15,0.29,0.31,0.26,0.16,0.57,0.6,0.24,0.73,0.43,0.53,High
146,22,0.34,0.17,0.22,0.25,0.5,0.3,0.39,0.45,0.62,0.38,1.0,High
147,42,0.01,0.16,0.2,0.22,0.02,0.39,0.53,0.18,0.46,0.3,0.05,Low
148,12,0.01,0.23,0.24,0.21,0.02,0.46,0.58,0.18,0.38,0.32,0.63,High
149,12,0.02,0.23,0.25,0.24,0.04,0.49,0.56,0.2,0.31,0.47,1.0,High
150,48,0.12,0.2,0.21,0.21,0.13,0.51,0.5,0.27,0.5,0.49,0.21,Low
151,37,0.11,0.21,0.23,0.26,0.12,0.29,0.35,0.38,0.47,0.48,0.86,High
152,39,0.01,0.34,0.36,0.33,0.01,0.22,0.34,0.36,0.34,0.46,0.03,Low
153,44,0.03,0.48,0.47,0.41,0.01,0.37,0.43,0.35,0.32,0.58,0.26,Medium
154,12,0.0,0.12,0.15,0.17,0.02,0.46,0.58,0.22,0.53,0.23,0.87,High
155,34,0.08,0.25,0.25,0.2,0.09,0.81,0.79,0.21,0.75,0.48,0.44,High
156,6,0.02,0.88,0.95,1.0,0.01,0.04,0.04,0.97,0.07,0.61,0.03,Low
157,37,0.01,0.11,0.12,0.2,0.03,0.75,0.78,0.17,0.51,0.4,0.73,High
158,12,0.14,0.25,0.29,0.4,0.09,0.21,0.33,0.32,0.27,0.34,0.48,High
159,40,0.0,0.35,0.33,0.25,0.01,0.19,0.26,0.22,0.2,0.64,0.06,Low
160,29,0.01,0.12,0.19,0.17,0.02,0.41,0.39,0.45,0.42,0.23,0.07,Low
161,9,0.03,0.53,0.56,0.6,0.01,0.16,0.22,0.53,0.22,0.67,0.03,Low
162,25,0.04,0.55,0.56,0.46,0.01,0.12,0.19,0.37,0.42,0.5,0.17,Low
163,25,0.02,0.56,0.57,0.48,0.01,0.18,0.26,0.43,0.32,0.53,0.11,Low
164,34,0.01,0.61,0.65,0.75,0.0,0.21,0.25,0.57,0.17,0.54,0.05,Low
165,6,0.04,0.64,0.62,0.52,0.01,0.14,0.24,0.43,0.16,0.68,0.25,Low
166,51,0.04,0.12,0.32,0.16,0.09,0.11,0.11,1.0,0.43,0.14,0.05,Low
167,48,0.01,0.22,0.27,0.23,0.02,0.39,0.51,0.24,0.3,0.38,0.15,Low
168,37,0.02,0.21,0.24,0.27,0.03,0.4,0.53,0.32,0.23,0.35,0.46,High
169,39,0.06,0.19,0.22,0.22,0.06,0.3,0.47,0.16,0.52,0.39,0.45,High
170,54,0.07,0.11,0.18,0.23,0.11,0.41,0.48,0.33,0.73,0.14,0.23,Low
171,42,0.0,0.46,0.46,0.4,0.0,0.23,0.31,0.35,0.27,0.54,0.08,Low
172,18,0.0,0.22,0.24,0.21,0.01,0.37,0.56,0.14,0.42,0.49,0.08,Low
173,48,0.03,0.12,0.1,0.08,0.09,1.0,0.78,0.3,0.88,0.26,0.2,Low
174,25,0.11,0.28,0.32,0.27,0.12,0.34,0.46,0.22,0.62,0.4,0.73,High
175,34,0.13,0.56,0.54,0.45,0.02,0.31,0.38,0.31,0.27,0.56,0.17,Low
176,42,0.02,0.54,0.54,0.52,0.0,0.1,0.14,0.51,0.06,0.7,0.07,Low
177,34,0.35,0.29,0.28,0.27,0.39,0.48,0.6,0.34,0.74,0.43,0.83,High
178,53,0.01,0.22,0.25,0.27,0.02,0.2,0.34,0.22,0.48,0.31,0.1,Low
179,40,0.0,0.27,0.28,0.31,0.01,0.08,0.18,0.49,0.18,0.6,0.25,Low
180,39,0.03,0.18,0.22,0.22,0.04,0.3,0.5,0.13,0.58,0.43,0.12,Low
181,35,0.0,0.13,0.14,0.13,0.02,0.47,0.47,0.31,0.77,0.23,0.25,Low
182,48,0.0,0.16,0.22,0.17,0.02,0.87,0.71,0.17,0.48,0.4,0.3,Medium
183,34,0.0,1.0,0.97,0.85,0.0,0.2,0.15,0.79,0.11,0.56,0.02,Low
184,9,0.07,0.47,0.47,0.46,0.02,0.2,0.27,0.4,0.19,0.65,0.19,Low
185,37,0.28,0.29,0.34,0.36,0.18,0.26,0.35,0.48,0.25,0.63,0.36,Medium
186,12,0.11,0.52,0.53,0.45,0.04,0.11,0.16,0.51,0.2,0.73,0.12,Low
187,18,0.02,0.51,0.51,0.46,0.01,0.16,0.2,0.4,0.15,0.7,0.01,Low
188,42,0.01,0.68,0.68,0.62,0.0,0.17,0.18,0.71,0.05,0.52,0.06,Low
189,39,0.02,0.49,0.45,0.31,0.01,0.16,0.35,0.21,0.22,0.7,0.1,Low
190,34,0.01,0.45,0.42,0.35,0.01,0.52,0.56,0.21,0.46,0.65,0.1,Low
191,25,0.04,0.49,0.49,0.46,0.02,0.19,0.28,0.42,0.38,0.7,0.21,Low
192,39,0.02,0.05,0.28,0.09,0.05,0.13,0.15,0.94,0.56,0.09,0.1,Low
193,48,0.02,0.49,0.41,0.28,0.0,0.09,0.24,0.23,0.15,0.88,0.07,Low
194,49,0.0,0.49,0.42,0.23,0.0,0.03,0.08,0.5,0.24,0.64,0.02,Low
195,25,0.0,0.68,0.64,0.48,0.0,0.09,0.21,0.44,0.32,0.69,0.03,Low
196,50,0.01,0.46,0.44,0.34,0.0,0.16,0.15,0.45,0.19,0.71,0.01,Low
197,13,0.2,0.17,0.2,0.2,0.27,0.39,0.52,0.25,0.5,0.4,0.41,High
198,6,0.09,0.23,0.26,0.27,0.08,0.2,0.32,0.25,0.58,0.36,0.26,Medium
199,37,0.01,0.16,0.19,0.22,0.03,0.64,0.71,0.18,0.37,0.48,0.42,High
200,12,0.03,0.41,0.34,0.28,0.02,0.17,0.28,0.23,0.29,0.78,0.18,Low
201,34,0.0,0.55,0.58,0.55,0.0,0.21,0.29,0.44,0.21,0.58,0.13,Low
202,18,0.01,0.28,0.27,0.18,0.01,0.4,0.65,0.04,0.49,0.43,0.29,Medium
203,6,0.01,0.41,0.35,0.26,0.01,0.81,0.77,0.2,0.41,0.44,0.68,High
204,42,0.0,0.32,0.31,0.33,0.01,0.34,0.52,0.19,0.07,0.7,0.05,Low
205,41,0.16,0.23,0.3,0.3,0.17,0.13,0.17,0.56,0.4,0.46,0.16,Low
206,6,0.2,0.59,0.61,0.58,0.06,0.13,0.19,0.5,0.2,0.62,0.26,Medium
207,39,0.0,0.23,0.25,0.23,0.01,0.25,0.4,0.18,0.34,0.48,0.19,Low
208,25,0.03,0.54,0.59,0.52,0.01,0.09,0.19,0.51,0.27,0.57,0.03,Low
209,45,0.0,0.18,0.49,0.3,0.03,0.18,0.18,0.94,0.35,0.34,0.15,Low
210,24,0.01,0.35,0.39,0.37,0.01,0.26,0.4,0.39,0.3,0.71,0.29,Medium
211,54,0.0,0.33,0.35,0.36,0.0,0.23,0.3,0.33,0.25,0.42,0.01,Low
212,12,0.03,0.27,0.28,0.35,0.02,0.25,0.37,0.27,0.26,0.66,0.66,High
213,34,0.01,0.57,0.62,0.53,0.01,0.24,0.28,0.52,0.22,0.53,0.05,Low
214,48,0.01,0.44,0.41,0.32,0.01,0.21,0.3,0.31,0.31,0.64,0.27,Medium
215,6,0.07,0.32,0.32,0.33,0.06,0.47,0.48,0.21,0.4,0.44,0.49,High
216,48,0.03,0.36,0.34,0.26,0.02,0.23,0.24,0.35,0.21,0.81,0.08,Low
217,49,0.0,0.29,0.27,0.12,0.01,0.1,0.24,0.19,0.4,0.5,0.04,Low
218,51,0.07,0.15,0.2,0.21,0.09,0.71,0.75,0.18,0.58,0.35,0.16,Low
219,23,0.02,0.33,0.35,0.33,0.01,0.14,0.23,0.34,0.23,0.6,0.06,Low
220,55,0.0,0.25,0.28,0.22,0.01,0.54,0.49,0.21,0.2,0.58,0.04,Low
221,36,0.02,0.39,0.44,0.39,0.02,0.28,0.4,0.35,0.3,0.56,0.31,Medium
222,42,0.07,0.17,0.19,0.19,0.1,0.52,0.68,0.2,0.4,0.45,0.36,Medium
223,39,0.0,0.43,0.42,0.35,0.0,0.21,0.35,0.25,0.28,0.42,0.05,Low
224,55,0.04,0.25,0.27,0.25,0.03,0.36,0.37,0.21,0.29,0.51,0.16,Low
225,1,0.0,0.14,0.19,0.19,0.02,0.52,0.6,0.2,0.48,0.31,0.1,Low
226,48,0.02,0.12,0.14,0.17,0.05,0.52,0.61,0.22,0.56,0.24,0.74,High
227,44,0.1,0.25,0.29,0.26,0.07,0.57,0.68,0.19,0.52,0.53,0.19,Low
228,45,0.0,0.12,0.16,0.14,0.02,0.64,0.69,0.22,0.61,0.28,0.63,High
229,13,0.01,0.25,0.31,0.37,0.03,0.27,0.34,0.66,0.35,0.5,0.42,High
230,19,0.0,0.17,0.21,0.2,0.01,0.33,0.35,0.17,0.48,0.29,0.04,Low
231,42,0.0,0.23,0.24,0.22,0.01,0.29,0.39,0.14,0.38,0.34,0.06,Low
232,53,0.02,0.18,0.23,0.24,0.04,0.34,0.43,0.26,0.61,0.38,0.2,Low
233,9,0.19,0.23,0.26,0.27,0.23,0.41,0.5,0.43,0.62,0.39,0.88,High
234,25,0.03,0.55,0.51,0.39,0.01,0.29,0.39,0.25,0.54,0.65,0.12,Low
235,48,0.01,0.23,0.23,0.18,0.02,0.64,0.68,0.16,0.42,0.46,0.11,Low
236,6,0.03,0.29,0.22,0.21,0.02,0.2,0.26,0.26,0.17,0.79,0.27,Medium
237,55,0.02,0.52,0.46,0.39,0.01,0.19,0.29,0.33,0.24,0.67,0.02,Low
238,25,0.05,0.36,0.39,0.31,0.03,0.27,0.36,0.3,0.3,0.52,0.37,Medium
239,53,0.04,0.3,0.31,0.3,0.03,0.18,0.3,0.19,0.28,0.6,0.18,Low
240,25,0.03,0.81,0.84,0.73,0.01,0.1,0.12,0.86,0.21,0.61,0.04,Low
241,42,0.02,0.17,0.19,0.21,0.03,0.4,0.65,0.11,0.27,0.47,0.12,Low
242,6,0.11,0.29,0.28,0.27,0.12,0.42,0.42,0.31,0.43,0.44,0.32,Medium
243,6,0.15,0.27,0.21,0.1,0.21,1.0,1.0,0.07,0.63,0.43,0.54,High
244,39,0.02,0.23,0.25,0.2,0.03,0.25,0.43,0.17,0.48,0.4,0.18,Low
245,6,0.08,0.39,0.41,0.38,0.04,0.27,0.32,0.3,0.27,0.5,0.25,Low
246,6,0.08,0.35,0.34,0.31,0.05,0.3,0.48,0.18,0.35,0.56,0.7,High
247,12,0.01,0.11,0.13,0.21,0.02,0.35,0.57,0.11,0.36,0.09,0.22,Low
248,45,0.05,0.18,0.23,0.24,0.08,0.5,0.6,0.37,0.43,0.39,1.0,High
249,55,0.07,0.17,0.24,0.2,0.09,0.33,0.32,0.34,0.38,0.46,0.03,Low
250,37,0.62,0.33,0.36,0.4,0.39,0.2,0.32,0.45,0.22,0.68,0.74,High
251,12,0.1,0.21,0.23,0.29,0.09,0.32,0.45,0.3,0.41,0.3,0.63,High
252,18,0.02,0.71,0.72,0.68,0.0,0.04,0.05,0.84,0.07,0.71,0.05,Low
253,34,0.0,0.46,0.51,0.43,0.01,0.32,0.37,0.39,0.32,0.59,0.09,Low
254,42,0.01,0.56,0.53,0.51,0.0,0.15,0.2,0.58,0.15,0.59,0.04,Low
255,45,0.1,0.17,0.14,0.18,0.12,0.28,0.45,0.17,0.27,0.71,0.93,High
256,29,0.01,0.05,0.09,0.13,0.04,0.76,0.74,0.17,0.56,0.24,0.19,Low
257,42,0.0,0.38,0.39,0.4,0.0,0.44,0.47,0.29,0.08,0.68,0.06,Low
258,54,0.01,0.1,0.15,0.18,0.03,0.37,0.5,0.21,0.76,0.13,0.03,Low
259,48,0.0,0.12,0.13,0.08,0.03,1.0,0.94,0.1,0.93,0.25,0.1,Low
260,18,0.02,0.22,0.25,0.24,0.02,0.33,0.48,0.18,0.29,0.48,0.53,High
261,12,0.02,0.2,0.24,0.31,0.03,0.37,0.5,0.27,0.41,0.22,0.59,High
262,51,0.31,0.2,0.22,0.3,0.37,0.42,0.56,0.38,0.4,0.43,0.67,High
263,9,0.03,0.77,0.74,0.62,0.0,0.13,0.17,0.7,0.17,0.54,0.01,Low
264,44,0.03,0.42,0.41,0.32,0.01,0.31,0.44,0.21,0.34,0.6,0.05,Low
265,47,0.03,0.35,0.42,0.43,0.02,0.2,0.23,0.57,0.28,0.42,0.14,Low
266,1,0.28,0.24,0.27,0.26,0.3,0.3,0.41,0.39,0.44,0.49,0.35,Medium
267,29,0.01,0.28,0.28,0.27,0.01,0.44,0.52,0.16,0.39,0.52,0.17,Low
268,29,0.0,0.1,0.21,0.13,0.02,0.31,0.27,0.42,0.34,0.39,0.05,Low
269,25,0.01,0.25,0.32,0.29,0.02,0.21,0.33,0.28,0.36,0.45,0.69,High
270,25,0.03,0.5,0.49,0.42,0.01,0.26,0.29,0.36,0.35,0.61,0.11,Low
